unseq,date,bjd,rv,rv_err
1119412,2024-10-08T01:15:52.356,2460591.5579177,12621.868601296834,5.5791952718345525
1119413,2024-10-08T01:31:42.871,2460591.5689195,12630.70730563879,5.826783427532699
1119417,2024-10-08T02:38:23.326,2460591.6152227,12619.683856460779,5.0802733592043055
1119642,2024-10-10T00:35:16.857,2460593.5297998,12558.849808280003,5.357000145039658
1119643,2024-10-10T00:51:07.372,2460593.5408015,12547.456777590998,4.745869793481774
1119644,2024-10-10T01:06:57.894,2460593.5518033,12594.033997091414,4.939085551080294
1119648,2024-10-10T03:28:41.019,2460593.6502225,12541.034216413642,4.434961816096799
1119649,2024-10-10T03:44:31.543,2460593.6612243,12542.182484186196,4.326741664305553
1119650,2024-10-10T04:00:22.078,2460593.6722262,12508.929904366856,4.669009916487399
1119782,2024-10-11T05:54:10.052,2460594.7512895,12544.342868700547,6.305908393656313
1119783,2024-10-11T06:10:00.573,2460594.7622913,12556.059556366003,4.999975697899593
1119783,2024-10-11T06:10:00.573,2460595.734005,12538.506126209704,4.976371294019574
1120230,2024-10-17T03:41:43.968539,2460600.6594839,12480.046573214491,4.853638707320818
1120231,2024-10-17T03:57:34.497409,2460600.6704856,12476.575200540366,5.7907386038673145
